Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2GFT-20: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,Contractor
,2GFT-20-19-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,19,Tom Grieve
,2GFT-20-20-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,20,Tom Grieve
,2GFT-20-21-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,21,Tom Grieve
,,,,,,,,,,
06-07-02-01/01-01,DFN ODTR Testing.,fibre,,$ 27.00,432,"$ 11,664.00",,,,
,2GFT-ODF-020-S20,fibre,Craig Comms,$ 27.00,432,"$ 11,664.00",,,01,Tom Grieve
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 14,693.54",,,,
07-01-02-01/01-01,Installation of a new Distribution extra large copper joint.,jt,,$ 750.00,8,"$ 6,000.00",,,,
,2GFT-20-02-CJL-001,jt,Craig Comms,$ 750.00,1,$ 750.00,,,02,Matt DeMarco
,2GFT-20-06-CJL-001,jt,Craig Comms,$ 750.00,1,$ 750.00,,,06,"Madison Rodier, Mark Rodier"
,2GFT-20-07-CJL-001,jt,Craig Comms,$ 750.00,1,$ 750.00,,,07,"Stephen Jablonka, Glen Turner"
,2GFT-20-13-CJL-001,jt,Craig Comms,$ 750.00,1,$ 750.00,,,13,Matt DeMarco
,2GFT-20-13-CJL-002,jt,Craig Comms,$ 750.00,1,$ 750.00,,,13,Matt DeMarco
,2GFT-20-19-CJL-002,jt,Craig Comms,$ 750.00,1,$ 750.00,,,19,"Madison Rodier, Mark Rodier"
,2GFT-20-19-CJL-003,jt,Craig Comms,$ 750.00,1,$ 750.00,,,19,"Madison Rodier, Mark Rodier"
,2GFT-20-21-CJL-001,jt,Craig Comms,$ 750.00,1,$ 750.00,,,21,"Stephen Jablonka, Glen Turner"
,,,,,,,,,,
07-01-02-02/01-01,Installation of a new Distribution  large copper joint.,jt,,$ 404.00,1,$ 404.00,,,,
,2GFT-20-04-CJL-001,jt,Craig Comms,$ 404.00,1,$ 404.00,,,04,Matt DeMarco
,,,,,,,,,,
07-01-02-07/01-01,Installation of new main cable medium copper joint.,jt,,"$ 1,087.63",6,"$ 6,525.78",,,,
,2GFT-20-01-CJL-001,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,01,"Madison Rodier, Mark Rodier"
,2GFT-20-07-CJL-002,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,07,"Stephen Jablonka, Glen Turner"
,2GFT-20-08-CJL-001,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,08,"Madison Rodier, Mark Rodier"
,2GFT-20-10-CJL-001,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,10,Matt DeMarco
,2GFT-20-13-CJL-003,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,13,Matt DeMarco
,2GFT-20-19-CJL-001,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,19,"Madison Rodier, Mark Rodier"
,,,,,,,,,,
07-01-02-10/01-01,Cable Rearrangement - 200pr,200pr,,$ 293.96,6,"$ 1,763.76",,,,
,2GFT-20-01-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,01,"Madison Rodier, Mark Rodier"
,2GFT-20-07-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,07,"Stephen Jablonka, Glen Turner"
,2GFT-20-08-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,08,"Madison Rodier, Mark Rodier"
,2GFT-20-10-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,10,Matt DeMarco
,2GFT-20-13-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,13,Matt DeMarco
,2GFT-20-19-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,19,"Madison Rodier, Mark Rodier"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 78,051.35",,,,
07-01-01-03/01-01,Installation and termination of connection module,10 pr,,$ 17.23,1525,"$ 26,275.75",,,,
,000000006500552622,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,20,"Stephen Jablonka, Glen Turner"
,000000006500563014,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,08,"Madison Rodier, Mark Rodier"
,000000006500623894,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,05,Matt DeMarco
,000000006501109277,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,14,"Madison Rodier, Mark Rodier"
,000000006503739861,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,21,"Stephen Jablonka, Glen Turner"
,000000013002280546,10 pr,Craig Comms,$ 17.23,55,$ 947.65,,,06,"Madison Rodier, Mark Rodier"
,000000013002280547,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,06,"Madison Rodier, Mark Rodier"
,000000013002281077,10 pr,Craig Comms,$ 17.23,100,"$ 1,723.00",,,07,"Stephen Jablonka, Glen Turner"
,000000013002281102,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,09,"Stephen Jablonka, Glen Turner"
,000000013002281193,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,10,Matt DeMarco
,000000013002281424,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,10,Matt DeMarco
,000000013002281425,10 pr,Craig Comms,$ 17.23,120,"$ 2,067.60",,,13,Matt DeMarco
,000000013002281761,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,01,"Madison Rodier, Mark Rodier"
